code,description
S31156D,open bite of abdominal wall right flank without penetration into peritoneal cavity subsequent encounter
S31156S,open bite of abdominal wall right flank without penetration into peritoneal cavity sequela
S31157A,open bite of abdominal wall left flank without penetration into peritoneal cavity initial encounter
S31157D,open bite of abdominal wall left flank without penetration into peritoneal cavity subsequent encounter
S31157S,open bite of abdominal wall left flank without penetration into peritoneal cavity sequela
S3115AA,open bite of abdominal wall unspecified flank without penetration into peritoneal cavity initial encounter
S3115AD,open bite of abdominal wall unspecified flank without penetration into peritoneal cavity subsequent encounter
S3115AS,open bite of abdominal wall unspecified flank without penetration into peritoneal cavity sequela
S31606A,unspecified open wound of abdominal wall right flank with penetration into peritoneal cavity initial encounter
S31606D,unspecified open wound of abdominal wall right flank with penetration into peritoneal cavity subsequent encounter
S31606S,unspecified open wound of abdominal wall right flank with penetration into peritoneal cavity sequela
S31607A,unspecified open wound of abdominal wall left flank with penetration into peritoneal cavity initial encounter
S31607D,unspecified open wound of abdominal wall left flank with penetration into peritoneal cavity subsequent encounter
S31607S,unspecified open wound of abdominal wall left flank with penetration into peritoneal cavity sequela
S3160AA,unspecified open wound of abdominal wall unspecified flank with penetration into peritoneal cavity initial encounter
S3160AD,unspecified open wound of abdominal wall unspecified flank with penetration into peritoneal cavity subsequent encounter
S3160AS,unspecified open wound of abdominal wall unspecified flank with penetration into peritoneal cavity sequela
S31616A,laceration without foreign body of abdominal wall right flank with penetration into peritoneal cavity initial encounter
S31616D,laceration without foreign body of abdominal wall right flank with penetration into peritoneal cavity subsequent encounter
S31616S,laceration without foreign body of abdominal wall right flank with penetration into peritoneal cavity sequela
S31617A,laceration without foreign body of abdominal wall left flank with penetration into peritoneal cavity initial encounter
S31617D,laceration without foreign body of abdominal wall left flank with penetration into peritoneal cavity subsequent encounter
S31617S,laceration without foreign body of abdominal wall left flank with penetration into peritoneal cavity sequela
S3161AA,laceration without foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity initial encounter
S3161AD,laceration without foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity subsequent encounter
S3161AS,laceration without foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity sequela
S31626A,laceration with foreign body of abdominal wall right flank with penetration into peritoneal cavity initial encounter
S31626D,laceration with foreign body of abdominal wall right flank with penetration into peritoneal cavity subsequent encounter
S31626S,laceration with foreign body of abdominal wall right flank with penetration into peritoneal cavity sequela
S31627A,laceration with foreign body of abdominal wall left flank with penetration into peritoneal cavity initial encounter
S31627D,laceration with foreign body of abdominal wall left flank with penetration into peritoneal cavity subsequent encounter
S31627S,laceration with foreign body of abdominal wall left flank with penetration into peritoneal cavity sequela
S3162AA,laceration with foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity initial encounter
S3162AD,laceration with foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity subsequent encounter
S3162AS,laceration with foreign body of abdominal wall unspecified flank with penetration into peritoneal cavity sequela
S31636A,puncture wound of abdominal wall without foreign body right flank with penetration into peritoneal cavity initial encounter
S31636D,puncture wound of abdominal wall without foreign body right flank with penetration into peritoneal cavity subsequent encounter
S31636S,puncture wound of abdominal wall without foreign body right flank with penetration into peritoneal cavity sequela
S31637A,puncture wound of abdominal wall without foreign body left flank with penetration into peritoneal cavity initial encounter
S31637D,puncture wound of abdominal wall without foreign body left flank with penetration into peritoneal cavity subsequent encounter
