code,description
B334,hantavirus cardiopulmonary syndrome hps hcps
B338,other specified viral diseases
B340,adenovirus infection unspecified
B341,enterovirus infection unspecified
B342,coronavirus infection unspecified
B343,parvovirus infection unspecified
B344,papovavirus infection unspecified
B348,other viral infections of unspecified site
B349,viral infection unspecified
B350,tinea barbae and tinea capitis
B351,tinea unguium
B352,tinea manuum
B353,tinea pedis
B354,tinea corporis
B355,tinea imbricata
B356,tinea cruris
B358,other dermatophytoses
B359,dermatophytosis unspecified
B360,pityriasis versicolor
B361,tinea nigra
B362,white piedra
B363,black piedra
B368,other specified superficial mycoses
B369,superficial mycosis unspecified
B370,candidal stomatitis
B371,pulmonary candidiasis
B372,candidiasis of skin and nail
B373,candidiasis of vulva and vagina
B3731,acute candisiasis of vulva and vagina
B3732,chronic candidiasis of vulva and vagina
B3741,candidal cystitis and urethritis
B3742,candidal balanitis
B3749,other urogenital candidiasis
B375,candidal meningitis
B376,candidal endocarditis
B377,candidal sepsis
B3781,candidal esophagitis
B3782,candidal enteritis
B3783,candidal cheilitis
B3784,candidal otitis externa
B3789,other sites of candidiasis
B379,candidiasis unspecified
B380,acute pulmonary coccidioidomycosis
B381,chronic pulmonary coccidioidomycosis
B382,pulmonary coccidioidomycosis unspecified
B383,cutaneous coccidioidomycosis
B384,coccidioidomycosis meningitis
B387,disseminated coccidioidomycosis
B3881,prostatic coccidioidomycosis
B3889,other forms of coccidioidomycosis
B389,coccidioidomycosis unspecified
B390,acute pulmonary histoplasmosis capsulati
B391,chronic pulmonary histoplasmosis capsulati
B392,pulmonary histoplasmosis capsulati unspecified
B393,disseminated histoplasmosis capsulati
B394,histoplasmosis capsulati unspecified
B395,histoplasmosis duboisii
B399,histoplasmosis unspecified
B400,acute pulmonary blastomycosis
B401,chronic pulmonary blastomycosis
B402,pulmonary blastomycosis unspecified
B403,cutaneous blastomycosis
B407,disseminated blastomycosis
B4081,blastomycotic meningoencephalitis
B4089,other forms of blastomycosis
B409,blastomycosis unspecified
B410,pulmonary paracoccidioidomycosis
B417,disseminated paracoccidioidomycosis
B418,other forms of paracoccidioidomycosis
B419,paracoccidioidomycosis unspecified
B420,pulmonary sporotrichosis
B421,lymphocutaneous sporotrichosis
B427,disseminated sporotrichosis
B4281,cerebral sporotrichosis
B4282,sporotrichosis arthritis
B4289,other forms of sporotrichosis
B429,sporotrichosis unspecified
B430,cutaneous chromomycosis
B431,pheomycotic brain abscess
B432,subcutaneous pheomycotic abscess and cyst
B438,other forms of chromomycosis
B439,chromomycosis unspecified
B440,invasive pulmonary aspergillosis
B441,other pulmonary aspergillosis
B442,tonsillar aspergillosis
B447,disseminated aspergillosis
B4481,allergic bronchopulmonary aspergillosis
B4489,other forms of aspergillosis
B449,aspergillosis unspecified
B450,pulmonary cryptococcosis
B451,cerebral cryptococcosis
B452,cutaneous cryptococcosis
B453,osseous cryptococcosis
B457,disseminated cryptococcosis
B458,other forms of cryptococcosis
B459,cryptococcosis unspecified
B460,pulmonary mucormycosis
B461,rhinocerebral mucormycosis
B462,gastrointestinal mucormycosis
B463,cutaneous mucormycosis
B464,disseminated mucormycosis
B465,mucormycosis unspecified
B468,other zygomycoses
B469,zygomycosis unspecified
B470,eumycetoma
B471,actinomycetoma
B479,mycetoma unspecified
B480,lobomycosis
B481,rhinosporidiosis
B482,allescheriasis
B483,geotrichosis
B484,penicillosis
B488,other specified mycoses
B49,unspecified mycosis
B500,plasmodium falciparum malaria with cerebral complications
B508,other severe and complicated plasmodium falciparum malaria
B509,plasmodium falciparum malaria unspecified
B510,plasmodium vivax malaria with rupture of spleen
B518,plasmodium vivax malaria with other complications
B519,plasmodium vivax malaria without complication
B520,plasmodium malariae malaria with nephropathy
B528,plasmodium malariae malaria with other complications
B529,plasmodium malariae malaria without complication
B530,plasmodium ovale malaria
B531,malaria due to simian plasmodia
B538,other malaria not elsewhere classified
B54,unspecified malaria
B550,visceral leishmaniasis
B551,cutaneous leishmaniasis
